               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.1381,               2.326,              1.5132,                   0,                   0,                   0,                   0,                   0,                 nan,                   0,            0.070361,           0.0032932,           0.0032932
                   1,              1.8915,              1.7783,              1.3854,            0.026621,             0.28825,             0.01815,           0.0055328,                 nan,                 nan,                 nan,             0.04023,           0.0064953,           0.0064953
                   2,              1.8412,              1.6745,              1.3517,             0.59222,             0.50868,             0.57389,             0.28631,                 nan,                 nan,                 nan,            0.009967,           0.0095654,           0.0095654
                   3,              1.7641,              1.5906,              1.3357,             0.78835,             0.80735,             0.85194,             0.41998,                 nan,                 nan,                 nan,            0.009406,            0.009406,            0.009406
                   4,              1.7127,              1.4552,              1.3015,             0.49864,             0.77962,             0.80664,             0.43491,                 nan,                 nan,                 nan,            0.009406,            0.009406,            0.009406
                   5,              1.6105,              1.3392,              1.2407,             0.77891,             0.87402,             0.88675,             0.49064,              1.5186,              2.0343,              1.4143,            0.009208,            0.009208,            0.009208
                   6,              1.5793,              1.2995,              1.2708,             0.87814,             0.94575,             0.94973,             0.55963,              1.3761,              1.2799,              1.3317,             0.00901,             0.00901,             0.00901
                   7,              1.5401,              1.2269,              1.2404,             0.87809,             0.99208,             0.93176,             0.49419,              1.5322,              1.0253,              1.4398,            0.008812,            0.008812,            0.008812
                   8,              1.5135,              1.2072,              1.2091,             0.89508,             0.96681,             0.91145,             0.45469,              1.6206,              1.0071,              1.5156,            0.008614,            0.008614,            0.008614
                   9,              1.5146,              1.1733,              1.1987,             0.86322,             0.97946,             0.92788,             0.50461,               1.429,             0.85436,               1.378,            0.008416,            0.008416,            0.008416
                  10,              1.4815,              1.1581,              1.2088,             0.77603,             0.93561,             0.86624,              0.5342,              1.3358,             0.85693,              1.3109,            0.008218,            0.008218,            0.008218
                  11,              1.4533,              1.1456,              1.2115,             0.88445,             0.95286,             0.93973,             0.58791,                1.27,              1.3287,              1.2812,             0.00802,             0.00802,             0.00802
                  12,              1.4186,              1.1047,              1.2039,             0.87872,             0.96209,             0.94197,             0.59473,              1.2455,             0.83624,              1.2746,            0.007822,            0.007822,            0.007822
                  13,              1.4291,               1.092,              1.1705,             0.89421,             0.98062,             0.92223,             0.54934,              1.3577,             0.74217,              1.3383,            0.007624,            0.007624,            0.007624
                  14,              1.3949,              1.0594,              1.1948,             0.90722,             0.99381,             0.93887,             0.60263,              1.2119,             0.70615,              1.2544,            0.007426,            0.007426,            0.007426
                  15,              1.3963,              1.0414,              1.1879,              0.8849,             0.99777,             0.94922,             0.57508,              1.2898,             0.68046,              1.2971,            0.007228,            0.007228,            0.007228
                  16,              1.3837,              1.0558,              1.1776,               0.917,             0.99295,             0.94675,             0.56398,               1.364,             0.76719,              1.3232,             0.00703,             0.00703,             0.00703
